App name,Date,Duration
Gallery,2019-07-27,1.0
Gallery,2019-07-31,2.0
Gallery,2019-08-04,1.0
Gallery,2019-08-09,3.0
Gallery,2019-08-13,2.0
Gallery,2019-08-15,2.0
Gallery,2019-08-19,4.0
Gallery,2019-08-24,1.0
Gallery,2019-08-26,1.0
Gallery,2019-08-27,5.0
Gallery,2019-08-30,9.0
Gallery,2019-08-31,1.0
Gallery,2019-09-01,5.0
Gallery,2019-09-02,1.0
Gallery,2019-09-03,4.0
Gallery,2019-09-05,3.0
Gallery,2019-09-09,1.0
Gallery,2019-09-12,6.0
Gallery,2019-09-13,2.0
Gallery,2019-09-16,3.0
Gallery,2019-09-18,2.0
Gallery,2019-09-22,2.0
Gallery,2019-09-25,3.0
Gallery,2019-09-26,1.0
Gallery,2019-09-30,2.0
Gallery,2019-10-02,1.0
Gallery,2019-10-03,6.0
Gallery,2019-10-18,1.0
Gallery,2019-10-29,1.0
Gallery,2019-11-10,1.0
Gallery,2019-11-12,5.0
Gallery,2019-11-15,2.0
Gallery,2019-11-21,2.0
Game Launcher,2019-10-31,3.0
Gmail,2019-05-28,2.0
Gmail,2019-05-30,2.0
Gmail,2019-07-02,4.0
Gmail,2019-07-17,2.0
Gmail,2019-07-20,2.0
Gmail,2019-09-08,1.0
Gmail,2019-09-16,2.0
Gmail,2019-10-02,2.0
Gmail,2019-10-14,1.0
Gmail,2019-10-20,1.0
Gmail,2019-11-07,1.0
Gmail,2019-11-13,1.0
Gmail,2019-11-18,4.0
Gmail,2019-11-26,1.0
Goodreads,2019-05-22,1.0
Goodreads,2019-05-30,2.0
Goodreads,2019-06-01,2.0
Goodreads,2019-06-04,3.0
Goodreads,2019-06-07,1.0
Goodreads,2019-06-11,3.0
Goodreads,2019-06-14,4.0
Goodreads,2019-06-19,11.0
Goodreads,2019-06-21,1.0
Goodreads,2019-06-24,1.0
Goodreads,2019-06-25,1.0
